run	imp	exit_code	neu_theta_1	neu_gamma_1	neu_e_1	sel_theta_1	sel_gamma_1	sel_e_1	sel_theta_2	sel_gamma_2	sel_e_2	sel_theta_3	sel_gamma_3	sel_e_3	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49	lnL	sel_theta_prop_1	sel_theta_prop_2	sel_theta_prop_3
1	12	3	0.000987845054247018	0	0	0.000611949661110843	-17.8604397117165	0	0.000350347515645435	-1.86591531547242	0	2.55478774907406e-05	6.54313398683843	0	0.110197913671213	0.477955698830595	0.711347325895483	0.879207938989194	1.50409915697186	1.19775168056454	1.36982372503629	2.24232748211453	1.29468814493397	1.2969946669047	1.72057543891081	1.09416170141552	1.56148023634042	0.93790907654768	0.983762931532459	1.56685882136147	0.997463040763998	1.13450771477282	1.58417859654964	1.09705099877886	1.12778902450519	1.74040742956827	1.15641463625971	1.81952256859669	1.20042457425459	1.34531562025278	1.87736934154718	1.28337532301758	1.47571866525468	2.24938393565542	1.54116322922969	1.55291004841793	2.46981269688524	1.72299311669782	1.81135494849115	2.88357949987897	2.34939734023263	4.01580820759888	2.95935613869446	3.23377046965797	5.40824730359418	3.42267633246676	3.37061770936388	4.65727693607472	2.87305902312684	2.93971538119093	3.87379311360904	1.93666303415947	478616.766666993	0.61947939960817	0.354658368880012	0.0258622315118178
1	7	3	0.000987814438098692	0	0	0.000613558699786653	-17.8010657065246	0	0.000349355046680643	-1.83933949900499	0	2.4900691631395e-05	6.64359432547097	0	0.110184994801873	0.477864653841679	0.711182413046419	0.879282507863434	1.5041107801982	1.19771427309034	1.36998209825202	2.24273585125381	1.29483359981784	1.29753375511392	1.72062960051692	1.09401069733297	1.56125530774458	0.938086363665326	0.983825573160899	1.56628229844921	0.997335228733415	1.13442049450843	1.58234919371634	1.0963835480702	1.12754009412185	1.73956511700833	1.15606452908653	1.81800016304944	1.20033479281018	1.3450769286142	1.87695292628441	1.28320488133914	1.47518286062546	2.24851468623279	1.54118022295556	1.55311789073637	2.46937238853768	1.72274102134834	1.81052877743312	2.88356880873944	2.34923618962215	4.01494197084742	2.96026811752509	3.23616966442812	5.40629793540469	3.42310680667101	3.37099164014746	4.65761262794752	2.87482174647159	2.94169003532277	3.87380518326309	1.93631823779687	478616.764014179	0.62112748723091	0.353664649155229	0.0252078636138615
1	12	3	0.000987610019130151	0	0	0.000614446532762436	-17.7506856412072	0	0.000348967322947168	-1.81953143200056	0	2.41961634205474e-05	6.80239487349425	0	0.110171758576819	0.47782583168997	0.711056239574288	0.879086077428273	1.50407667479337	1.197808877004	1.36999757857087	2.24317422444734	1.29493353954974	1.29747527339419	1.72095487401419	1.09472155836908	1.56132509669239	0.938375273132819	0.984131688331255	1.56657755806286	0.997503390417308	1.13480404012313	1.58368838355633	1.09678135159019	1.12806903882885	1.74049516871807	1.15597523970645	1.8190705764995	1.20054962552567	1.34538150193185	1.87708804178962	1.28374293162934	1.47536064969048	2.24939830603154	1.54201464602434	1.55342735764334	2.47039597818246	1.72354207794808	1.81165334411733	2.88483742030137	2.34935919305871	4.01651113029241	2.96105854131014	3.23627461717512	5.4102911949524	3.42464232933542	3.37262851828371	4.65931388828688	2.87483544655109	2.94081316467478	3.87395198490264	1.93639092589265	478616.760986372	0.622155021577866	0.353345264008687	0.0244997144134468
1	11	3	0.000987756424210921	0	0	0.000614552402708218	-17.7802533937808	0	0.000349520470774172	-1.81017350609322	0	2.36835507285309e-05	6.94162262443815	0	0.110159494940269	0.477846274185256	0.711284300291889	0.879321542710121	1.5044700153499	1.1978485545126	1.37048165519633	2.24329393919929	1.29461537289807	1.29736092728294	1.72041540694348	1.09418850373209	1.56144121092128	0.937853362004505	0.983808473710448	1.56581222203794	0.997274321366143	1.13424180423558	1.58320076560962	1.09633829057536	1.12744640325291	1.73972083170569	1.15615565443461	1.81878418971304	1.19996430125774	1.34501963150288	1.87694189007739	1.28302517174514	1.47584295473949	2.24941337979941	1.54183793630557	1.55290223506093	2.46967961905431	1.72375347816833	1.81144490991693	2.88500514638161	2.34991405991411	4.01709844715645	2.96091864841757	3.2375417750288	5.4108790046606	3.42460664750544	3.37210793822323	4.65808479426258	2.87362757563046	2.93814167606676	3.87068210622412	1.93379781948855	478616.758586299	0.62216998811135	0.35385289551864	0.0239771163700107
1	8	3	0.000988708818837224	0	0	0.000601834956765898	-18.2101529317123	0	0.000354453912419428	-2.07219374494105	0	3.24199496518983e-05	5.47024073310954	0	0.110194054283585	0.47786624508164	0.711071245724861	0.878528908775956	1.50217229165384	1.19562381164407	1.36717471189928	2.23800404697229	1.29153286479632	1.29436359065302	1.71647799499206	1.09189242823461	1.55883807802374	0.936886222230299	0.982823605861022	1.56543448207753	0.996821056520582	1.1342236340454	1.58331681012403	1.09685987723248	1.12809214436285	1.74085431817993	1.1566312267016	1.81983484971194	1.20061517016914	1.34576878530106	1.87743745625361	1.28354216146892	1.47562066427264	2.2482918416222	1.54101702452424	1.55106533656383	2.4672414154939	1.7210391236681	1.80799986858745	2.87889255895124	2.34422340469098	4.00592605427553	2.95339601196213	3.22769754482495	5.39529446417457	3.41639561641517	3.36566727628449	4.65097665736122	2.87340796246553	2.94061340313767	3.87787028669831	1.94155092318134	478616.757075629	0.608707988944297	0.358501821432406	0.0327901896232967
1	12	3	0.000987145285054373	0	0	0.000615273513972928	-17.6986016932093	0	0.000347291223103233	-1.81806329381864	0	2.45805479782125e-05	6.68955454879617	0	0.110192016189713	0.478098894895064	0.711539554427134	0.879897598095748	1.50525630130751	1.19901079089413	1.37176948804945	2.24601554081268	1.29691692658907	1.29930990808653	1.7237645372218	1.09622292595398	1.56343717109637	0.939631219900073	0.98510882270096	1.56940398764153	0.998411437396618	1.13591105189394	1.58607451428301	1.09777227843839	1.12891054155676	1.74118345830959	1.15738026102685	1.82058422708238	1.20112786775618	1.34630931618016	1.87814698269742	1.28404734338756	1.47605023401524	2.25040378830894	1.54188624180175	1.55347692664737	2.47108729458728	1.72390437700147	1.81203120088204	2.88550161380567	2.34973663723632	4.01790446228018	2.96091671148362	3.238172564383	5.41026414586961	3.42627231226337	3.37348153899436	4.66225023250197	2.8748472972877	2.94267656082724	3.87873816094647	1.93728801718642	478616.755414856	0.623285673637227	0.351813687773531	0.0249006385892413
1	11	3	0.000987328741534067	0	0	0.000616449044778415	-17.679399979213	0	0.000347560033822655	-1.78593078261716	0	2.33196629329965e-05	6.98140932389164	0	0.110210344404451	0.477908758374639	0.71131330350436	0.879646849698309	1.50499702558164	1.1983161553482	1.37091198006847	2.24541908575266	1.29617679560854	1.29872069643764	1.72248105624199	1.09522193501709	1.56313230811169	0.939360613443314	0.984940017543939	1.56748516679754	0.997742007153928	1.13523155721054	1.58465868765093	1.09719644484312	1.12813332249949	1.74079321487826	1.15673054881973	1.81993251588198	1.20024941251878	1.34537075837418	1.87739509183222	1.28400554571961	1.47601204779878	2.24959137165421	1.54207512606092	1.55343580887102	2.47018285893387	1.72427047989716	1.81247515739268	2.88486396095242	2.3501145780873	4.02006183636474	2.96236280717457	3.23827116445111	5.41456536470296	3.42715246895177	3.37462096499702	4.66039715266393	2.87629484969199	2.94030032325814	3.87498394166151	1.93612474516352	478616.753706549	0.624360477768129	0.352020577546068	0.0236189446858029
1	11	3	0.000987860719167472	0	0	0.000614248101083179	-17.820310310509	0	0.000350475871832137	-1.80264266712173	0	2.31367462521553e-05	7.09449560117365	0	0.110190200758612	0.477949672859592	0.711430251335389	0.879440616558547	1.50439395710498	1.19777126808646	1.36948423154068	2.2424270476656	1.29442161330783	1.29687683259949	1.71977298683296	1.09342883295179	1.56029717897605	0.937454425206962	0.983128474357804	1.56521169886836	0.996649053751911	1.13352490924705	1.58172683324751	1.09623244186823	1.12699242114681	1.73883532033253	1.1556664978032	1.81825192651762	1.19928419587492	1.34443266479599	1.8766104920388	1.28267483362457	1.47609271505961	2.24878754487234	1.54182481881041	1.55279990497033	2.47055777211299	1.72494608036924	1.81149131306143	2.88613824520005	2.35001792728243	4.0196083569073	2.9616998319481	3.23757235134598	5.41143074869778	3.42570208988354	3.37240017176956	4.6581041862923	2.87331588195484	2.93968104150713	3.870341644428	1.93266766249594	478616.7528496	0.621796260510128	0.354782678399748	0.0234210610901241
1	26	3	0.000987209428134195	0	0	0.000616627253366978	-17.6524489665873	0	0.000346390453726299	-1.79903246151226	0	2.41917210409183e-05	6.7380967277401	0	0.110164735779969	0.477972250215697	0.711472879574585	0.879898864951047	1.50548921311138	1.19917701023098	1.37203876678981	2.24610473596086	1.29717193210802	1.29986071543083	1.72381780110094	1.09608626825831	1.56381062298149	0.939607658783417	0.985245143106395	1.56920733470161	0.998550469272261	1.13600605611599	1.58527224888899	1.09738273141486	1.1288634347181	1.741435788203	1.1571570230068	1.81977686224159	1.20037522698321	1.34568357693241	1.87761796094511	1.2834825341411	1.4754604931214	2.24902899102752	1.54149560803535	1.55264377209816	2.47007604479481	1.72377178037965	1.81149061066345	2.88504084394514	2.34877728063905	4.01763076458515	2.96163457338061	3.23594147665426	5.41135518746546	3.4264344623618	3.37384348882886	4.66249051398231	2.87626280732856	2.94336761202554	3.87906991941984	1.938608227737	478616.752001461	0.62461645502352	0.350878388976663	0.0245051559998167
1	37	3	0.000987824645107029	0	0	0.000616090222912127	-17.7606583944776	0	0.000349870658808254	-1.76320199496973	0	2.18637633866477e-05	7.42928961743458	0	0.110211174406284	0.477889664539871	0.711272372212966	0.879369739977121	1.50435896831327	1.19769837431461	1.36974589278119	2.24264235216749	1.29439451499931	1.29681836475139	1.71968058662712	1.09385207484157	1.56030607186352	0.93761378781174	0.983306647367031	1.5651588532679	0.996279520435715	1.13383127763202	1.58168698310662	1.09569095989428	1.12666061201096	1.73853961683708	1.15495298043046	1.81755491770662	1.19925436438294	1.34391035284698	1.87649899210278	1.28290742377407	1.47504111906126	2.24860184179899	1.54164015552809	1.55350423982906	2.47073568467385	1.72425439217291	1.81281830076917	2.88590613897555	2.35091004752798	4.02067199865835	2.96278198531233	3.23789274878779	5.41376432743545	3.42581970900003	3.37325090896014	4.65810879758134	2.87367165264006	2.93797301156696	3.86635927985346	1.93015651758677	478616.740754549	0.623683794450557	0.354182962068482	0.0221332434809609
