time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.26156e-06	13993.1
1	6.26156e-06	1.3586e-05	13993.1
2	1.3586e-05	2.21538e-05	30229.2
3	2.21538e-05	3.2176e-05	15549.5
4	3.2176e-05	4.38994e-05	7561.14
5	4.38994e-05	5.76129e-05	4254.72
6	5.76129e-05	7.36542e-05	2853.53
7	7.36542e-05	9.24186e-05	2219.77
8	9.24186e-05	0.000114368	1921.92
9	0.000114368	0.000140044	1780.96
10	0.000140044	0.000170078	1711.25
11	0.000170078	0.00020521	1665.8
12	0.00020521	0.000246306	1617.22
13	0.000246306	0.000294378	1551.44
14	0.000294378	0.00035061	1464.79
15	0.00035061	0.000416388	1361.11
16	0.000416388	0.000493331	1248.35
17	0.000493331	0.000583336	1135.3
18	0.000583336	0.000688618	1029.35
19	0.000688618	0.000811773	935.533
20	0.000811773	0.000955833	856.489
21	0.000955833	0.00112435	793.046
22	0.00112435	0.00132147	744.852
23	0.00132147	0.00155205	710.913
24	0.00155205	0.00182177	689.889
25	0.00182177	0.00213727	680.089
26	0.00213727	0.00250634	679.143
27	0.00250634	0.00293805	680.982
28	0.00293805	0.00344305	680.982
29	0.00344305	0.00403376	503.836
30	0.00403376	0.00472476	503.836
31	0.00472476	inf	503.836
