time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.02823e-06	18188.2
1	6.02823e-06	1.30797e-05	18188.2
2	1.30797e-05	2.13283e-05	32107.3
3	2.13283e-05	3.0977e-05	17135.9
4	3.0977e-05	4.22635e-05	8357.76
5	4.22635e-05	5.5466e-05	4311.5
6	5.5466e-05	7.09096e-05	2634.51
7	7.09096e-05	8.89747e-05	1951.74
8	8.89747e-05	0.000110106	1682.09
9	0.000110106	0.000134825	1590.4
10	0.000134825	0.00016374	1569.87
11	0.00016374	0.000197563	1565.56
12	0.000197563	0.000237128	1549.24
13	0.000237128	0.000283408	1509.25
14	0.000283408	0.000337545	1444.44
15	0.000337545	0.000400871	1359.66
16	0.000400871	0.000474947	1262.66
17	0.000474947	0.000561598	1161.74
18	0.000561598	0.000662957	1064.2
19	0.000662957	0.000781523	975.429
20	0.000781523	0.000920214	898.728
21	0.000920214	0.00108245	835.574
22	0.00108245	0.00127222	786.189
23	0.00127222	0.00149421	749.986
24	0.00149421	0.00175388	725.896
25	0.00175388	0.00205763	712.325
26	0.00205763	0.00241294	706.724
27	0.00241294	0.00282857	696.725
28	0.00282857	0.00331474	696.725
29	0.00331474	0.00388345	363.81
30	0.00388345	0.00454869	363.81
31	0.00454869	inf	363.81
