time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.6206e-06	37598
1	5.6206e-06	1.21953e-05	37598
2	1.21953e-05	1.98861e-05	11890.2
3	1.98861e-05	2.88823e-05	9846.3
4	2.88823e-05	3.94057e-05	7832.47
5	3.94057e-05	5.17154e-05	6230.52
6	5.17154e-05	6.61147e-05	4988.59
7	6.61147e-05	8.29582e-05	3994.09
8	8.29582e-05	0.000102661	3200.56
9	0.000102661	0.000125708	2588.77
10	0.000125708	0.000152668	2131.84
11	0.000152668	0.000184204	1795.66
12	0.000184204	0.000221093	1548.23
13	0.000221093	0.000264244	1363.85
14	0.000264244	0.00031472	1223.68
15	0.00031472	0.000373764	1114.85
16	0.000373764	0.000442832	1029.12
17	0.000442832	0.000523623	961.481
18	0.000523623	0.000618128	908.969
19	0.000618128	0.000728676	869.865
20	0.000728676	0.00085799	843.173
21	0.00085799	0.00100925	828.252
22	0.00100925	0.0011862	824.573
23	0.0011862	0.00139317	831.428
24	0.00139317	0.00163528	847.578
25	0.00163528	0.00191849	870.738
26	0.00191849	0.00224978	896.862
27	0.00224978	0.0026373	918.162
28	0.0026373	0.0030906	918.162
29	0.0030906	0.00362085	126.994
30	0.00362085	0.00424111	126.994
31	0.00424111	inf	126.994
