time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.86343e-06	36265
1	5.86343e-06	1.27222e-05	36265
2	1.27222e-05	2.07452e-05	9442.59
3	2.07452e-05	3.01301e-05	8639.48
4	3.01301e-05	4.11081e-05	7366.66
5	4.11081e-05	5.39496e-05	6042.65
6	5.39496e-05	6.8971e-05	4829.2
7	6.8971e-05	8.65423e-05	3817.59
8	8.65423e-05	0.000107096	3042.65
9	0.000107096	0.000131139	2481.42
10	0.000131139	0.000159264	2082.91
11	0.000159264	0.000192162	1795.88
12	0.000192162	0.000230645	1581.52
13	0.000230645	0.00027566	1414.49
14	0.00027566	0.000328317	1279.47
15	0.000328317	0.000389912	1167.47
16	0.000389912	0.000461963	1073.45
17	0.000461963	0.000546245	994.709
18	0.000546245	0.000644833	929.829
19	0.000644833	0.000760157	877.938
20	0.000760157	0.000895057	838.273
21	0.000895057	0.00105286	810.024
22	0.00105286	0.00123744	792.269
23	0.00123744	0.00145336	783.795
24	0.00145336	0.00170593	782.776
25	0.00170593	0.00200138	786.166
26	0.00200138	0.00234698	788.726
27	0.00234698	0.00275124	762.041
28	0.00275124	0.00322412	762.041
29	0.00322412	0.00377728	138.619
30	0.00377728	0.00442434	138.619
31	0.00442434	inf	138.619
