time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.72471e-06	18865.2
1	9.72471e-06	2.11002e-05	18865.2
2	2.11002e-05	3.44067e-05	818.332
3	3.44067e-05	4.99719e-05	682.736
4	4.99719e-05	6.81794e-05	815.298
5	6.81794e-05	8.94775e-05	1019.04
6	8.94775e-05	0.000114391	1234.58
7	0.000114391	0.000143534	1419.43
8	0.000143534	0.000177623	1545.01
9	0.000177623	0.000217499	1600.39
10	0.000217499	0.000264145	1589.88
11	0.000264145	0.000318708	1527.04
12	0.000318708	0.000382533	1428.75
13	0.000382533	0.000457193	1311.23
14	0.000457193	0.000544526	1187.97
15	0.000544526	0.000646684	1069.12
16	0.000646684	0.000766183	961.508
17	0.000766183	0.000905968	869.154
18	0.000905968	0.00106948	793.821
19	0.00106948	0.00126075	735.721
20	0.00126075	0.00148449	694.109
21	0.00148449	0.0017462	667.79
22	0.0017462	0.00205234	655.416
23	0.00205234	0.00241045	655.561
24	0.00241045	0.00282935	666.609
25	0.00282935	0.00331936	686.437
26	0.00331936	0.00389255	711.946
27	0.00389255	0.00456303	745.864
28	0.00456303	0.00534733	745.864
29	0.00534733	0.00626476	665.431
30	0.00626476	0.00733793	665.431
31	0.00733793	inf	665.431
