time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.34493e-06	20905.4
1	6.34493e-06	1.37669e-05	20905.4
2	1.37669e-05	2.24488e-05	36757.7
3	2.24488e-05	3.26044e-05	13063.7
4	3.26044e-05	4.44839e-05	5336.95
5	4.44839e-05	5.838e-05	2870.44
6	5.838e-05	7.46349e-05	1985.24
7	7.46349e-05	9.36491e-05	1643.81
8	9.36491e-05	0.000115891	1516.84
9	0.000115891	0.000141908	1477.16
10	0.000141908	0.000172342	1464.51
11	0.000172342	0.000207942	1447.17
12	0.000207942	0.000249585	1411
13	0.000249585	0.000298297	1354.1
14	0.000298297	0.000355278	1282
15	0.000355278	0.000421932	1202.9
16	0.000421932	0.000499899	1124.48
17	0.000499899	0.000591102	1052.44
18	0.000591102	0.000697787	990.396
19	0.000697787	0.000822581	940.307
20	0.000822581	0.000968559	903.04
21	0.000968559	0.00113932	878.974
22	0.00113932	0.00133906	868.434
23	0.00133906	0.00157271	872.161
24	0.00157271	0.00184602	891.847
25	0.00184602	0.00216573	931.181
26	0.00216573	0.00253971	998.654
27	0.00253971	0.00297717	1260.15
28	0.00297717	0.00348889	1260.15
29	0.00348889	0.00408747	41.4807
30	0.00408747	0.00478766	41.4807
31	0.00478766	inf	41.4807
