time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.3025e-06	10033
1	6.3025e-06	1.36749e-05	10033
2	1.36749e-05	2.22987e-05	28449.7
3	2.22987e-05	3.23864e-05	11659.5
4	3.23864e-05	4.41864e-05	6984.55
5	4.41864e-05	5.79896e-05	5017.59
6	5.79896e-05	7.41358e-05	3902.02
7	7.41358e-05	9.30229e-05	3191.87
8	9.30229e-05	0.000115116	2728.46
9	0.000115116	0.000140959	2423.12
10	0.000140959	0.00017119	2212.46
11	0.00017119	0.000206552	2050.08
12	0.000206552	0.000247916	1905.29
13	0.000247916	0.000296303	1761.67
14	0.000296303	0.000352903	1614.28
15	0.000352903	0.00041911	1465.58
16	0.00041911	0.000496557	1321.32
17	0.000496557	0.00058715	1187.41
18	0.00058715	0.000693121	1068.3
19	0.000693121	0.00081708	966.451
20	0.00081708	0.000962082	882.463
21	0.000962082	0.0011317	815.568
22	0.0011317	0.00133011	764.12
23	0.00133011	0.00156219	725.995
24	0.00156219	0.00183368	698.788
25	0.00183368	0.00215125	679.648
26	0.00215125	0.00252273	664.581
27	0.00252273	0.00295726	626.999
28	0.00295726	0.00346556	626.999
29	0.00346556	0.00406014	174.957
30	0.00406014	0.00475565	174.957
31	0.00475565	inf	174.957
