time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.35846e-06	27837.9
1	6.35846e-06	1.37963e-05	27837.9
2	1.37963e-05	2.24966e-05	8737.16
3	2.24966e-05	3.26739e-05	7685.09
4	3.26739e-05	4.45787e-05	6368.5
5	4.45787e-05	5.85044e-05	5242.27
6	5.85044e-05	7.4794e-05	4301.11
7	7.4794e-05	9.38488e-05	3523.56
8	9.38488e-05	0.000116138	2901.85
9	0.000116138	0.000142211	2424.28
10	0.000142211	0.00017271	2066.74
11	0.00017271	0.000208386	1798.43
12	0.000208386	0.000250117	1590.27
13	0.000250117	0.000298933	1419.87
14	0.000298933	0.000356036	1273.11
15	0.000356036	0.000422831	1143.01
16	0.000422831	0.000500965	1027.28
17	0.000500965	0.000592363	925.731
18	0.000592363	0.000699275	838.591
19	0.000699275	0.000824335	765.838
20	0.000824335	0.000970624	706.964
21	0.000970624	0.00114175	661.069
22	0.00114175	0.00134192	627.019
23	0.00134192	0.00157606	603.58
24	0.00157606	0.00184996	589.456
25	0.00184996	0.00217035	583.169
26	0.00217035	0.00254512	582.626
27	0.00254512	0.00298352	579.653
28	0.00298352	0.00349633	579.653
29	0.00349633	0.00409619	372.405
30	0.00409619	0.00479787	372.405
31	0.00479787	inf	372.405
