time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.42449e-06	15143.1
1	8.42449e-06	1.8279e-05	15143.1
2	1.8279e-05	2.98064e-05	6120.21
3	2.98064e-05	4.32905e-05	5668.32
4	4.32905e-05	5.90636e-05	4755.17
5	5.90636e-05	7.75141e-05	3866.84
6	7.75141e-05	9.90966e-05	3138.86
7	9.90966e-05	0.000124343	2592.42
8	0.000124343	0.000153874	2200.64
9	0.000153874	0.000188419	1921.17
10	0.000188419	0.000228828	1713.68
11	0.000228828	0.000276096	1547.81
12	0.000276096	0.000331387	1404.3
13	0.000331387	0.000396065	1273.31
14	0.000396065	0.000471721	1151.58
15	0.000471721	0.000560221	1039.46
16	0.000560221	0.000663743	938.481
17	0.000663743	0.000784837	850.034
18	0.000784837	0.000926488	774.817
19	0.000926488	0.00109218	712.783
20	0.00109218	0.00128601	663.282
21	0.00128601	0.00151273	625.216
22	0.00151273	0.00177794	597.169
23	0.00177794	0.00208817	577.459
24	0.00208817	0.00245106	564.063
25	0.00245106	0.00287555	554.428
26	0.00287555	0.0033721	545.188
27	0.0033721	0.00395294	517.682
28	0.00395294	0.00463238	517.682
29	0.00463238	0.00542715	157.277
30	0.00542715	0.00635683	157.277
31	0.00635683	inf	157.277
