time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.07792e-05	11075.9
1	1.07792e-05	2.33882e-05	11075.9
2	2.33882e-05	3.81376e-05	12809.5
3	3.81376e-05	5.53907e-05	4253.11
4	5.53907e-05	7.55724e-05	2250.78
5	7.55724e-05	9.91801e-05	1614.85
6	9.91801e-05	0.000126795	1382.6
7	0.000126795	0.000159098	1299.14
8	0.000159098	0.000196884	1269.32
9	0.000196884	0.000241084	1248.42
10	0.000241084	0.000292787	1214.7
11	0.000292787	0.000353267	1160.57
12	0.000353267	0.000424013	1087.73
13	0.000424013	0.000506769	1002.8
14	0.000506769	0.000603572	913.91
15	0.000603572	0.000716808	828.26
16	0.000716808	0.000849265	751.009
17	0.000849265	0.00100421	685.101
18	0.00100421	0.00118545	631.644
19	0.00118545	0.00139746	590.471
20	0.00139746	0.00164546	560.663
21	0.00164546	0.00193555	540.937
22	0.00193555	0.00227489	529.839
23	0.00227489	0.00267183	525.775
24	0.00267183	0.00313616	526.897
25	0.00313616	0.0036793	530.871
26	0.0036793	0.00431464	534.62
27	0.00431464	0.00505783	528.879
28	0.00505783	0.00592717	528.879
29	0.00592717	0.00694409	292.571
30	0.00694409	0.00813363	292.571
31	0.00813363	inf	292.571
