time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.6746e-06	18045.5
1	6.6746e-06	1.44822e-05	18045.5
2	1.44822e-05	2.36152e-05	26775
3	2.36152e-05	3.42984e-05	12658.4
4	3.42984e-05	4.67952e-05	6224.73
5	4.67952e-05	6.14133e-05	3563.17
6	6.14133e-05	7.85128e-05	2436.45
7	7.85128e-05	9.85149e-05	1942.55
8	9.85149e-05	0.000121912	1723.47
9	0.000121912	0.000149282	1627.75
10	0.000149282	0.000181297	1584.65
11	0.000181297	0.000218746	1557.3
12	0.000218746	0.000262553	1525.16
13	0.000262553	0.000313796	1477.96
14	0.000313796	0.000373738	1412.91
15	0.000373738	0.000443854	1332.25
16	0.000443854	0.000525873	1241.16
17	0.000525873	0.000621815	1145.88
18	0.000621815	0.000734042	1052.32
19	0.000734042	0.000865321	965.238
20	0.000865321	0.00101888	887.886
21	0.00101888	0.00119851	822.061
22	0.00119851	0.00140864	768.303
23	0.00140864	0.00165443	726.18
24	0.00165443	0.00194194	694.427
25	0.00194194	0.00227826	670.802
26	0.00227826	0.00267167	651.521
27	0.00267167	0.00313186	612.172
28	0.00313186	0.00367016	612.172
29	0.00367016	0.00429985	249.393
30	0.00429985	0.00503642	249.393
31	0.00503642	inf	249.393
