time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.03076e-05	11150.7
1	1.03076e-05	2.23649e-05	11150.7
2	2.23649e-05	3.6469e-05	15210
3	3.6469e-05	5.29672e-05	5251.74
4	5.29672e-05	7.2266e-05	2556
5	7.2266e-05	9.48408e-05	1699.24
6	9.48408e-05	0.000121248	1387.33
7	0.000121248	0.000152137	1271.08
8	0.000152137	0.00018827	1228.85
9	0.00018827	0.000230536	1206.55
10	0.000230536	0.000279977	1177.89
11	0.000279977	0.000337811	1132.63
12	0.000337811	0.000405462	1070.74
13	0.000405462	0.000484597	997.567
14	0.000484597	0.000577165	920.016
15	0.000577165	0.000685446	844.254
16	0.000685446	0.000812108	774.856
17	0.000812108	0.000960271	714.684
18	0.000960271	0.00113358	665.219
19	0.00113358	0.00133632	626.961
20	0.00133632	0.00157347	599.782
21	0.00157347	0.00185087	583.216
22	0.00185087	0.00217536	576.648
23	0.00217536	0.00255494	579.416
24	0.00255494	0.00299895	590.766
25	0.00299895	0.00351832	609.693
26	0.00351832	0.00412587	634.658
27	0.00412587	0.00483654	672.374
28	0.00483654	0.00566785	672.374
29	0.00566785	0.00664027	659.416
30	0.00664027	0.00777777	659.416
31	0.00777777	inf	659.416
