014704	CTOv12scf1	341	12204	-	70135	9114	7.6953039280228	1	Keep
014705	CTOv12scf1	23922	24294	-	1789	240	7.4541666666667	1	Keep
014706	CTOv12scf1	27988	47731	-	28429	2367	12.010561892691	1	Keep
014707	CTOv12scf1	59659	84271	-	29330	2406	12.190357439734	1	Keep
014708	CTOv12scf1	120853	143466	-	36884	2421	15.23502684841	0.419640634345352	Keep
014692	CTOv12scf1	224389	244726	+	37702	2646	14.248677248677	0.729961966527474	Keep
014725	CTOv12scf1	246447	246935	+	5560	489	11.370143149284	1	Keep
014709	CTOv12scf1	250171	261146	-	41708	2991	13.944500167168	0.839336728307561	Keep
014724	CTOv12scf1	263418	267851	+	7045	597	11.80067001675	1	Keep
014693	CTOv12scf1	285713	290827	+	5004	492	10.170731707317	1	Keep
014694	CTOv12scf1	292059	296168	+	9754	528	18.473484848485	0.0201529817770278	Keep
014710	CTOv12scf1	296169	300304	-	36747	2616	14.047018348624	0.802009573766078	Keep
014711	CTOv12scf1	310244	323945	-	123286	8496	14.511064030132	0.639754884103736	Keep
014695	CTOv12scf1	325077	332331	+	5922	444	13.337837837838	1	Keep
014696	CTOv12scf1	334136	335605	+	13122	945	13.885714285714	0.860910825413369	Keep
014712	CTOv12scf1	337518	341263	-	29565	2367	12.490494296578	1	Keep
014697	CTOv12scf1	346014	362303	+	87289	6294	13.868605020655	0.867210133523322	Keep
000001	CTOv12scf1	362306	368485	+	41249	2640	15.624621212121	0.322430017286883	Keep
014713	CTOv12scf1	369183	374812	-	13266	1239	10.707021791768	1	Keep
014698	CTOv12scf1	379900	387265	+	39437	2802	14.074589578872	0.792043682943326	Keep
000002	CTOv12scf1	392270	396241	+	8213	672	12.221726190476	1	Keep
000003	CTOv12scf1	399331	402534	+	5428	471	11.524416135881	1	Keep
014699	CTOv12scf1	405481	407941	+	12126	861	14.08362369338	0.78878550494314	Keep
014714	CTOv12scf1	408474	412554	-	29668	2154	13.773444753946	0.902389461740713	Keep
014715	CTOv12scf1	414547	434946	-	43128	3423	12.599474145486	1	Keep
014727	CTOv12scf1	437531	437731	-	2243	201	11.1592039801	1	Keep
014716	CTOv12scf1	439480	457131	-	49717	3294	15.093199757134	0.458916105352942	Keep
014717	CTOv12scf1	462140	466900	-	19234	1368	14.059941520468	0.797334248517801	Keep
014700	CTOv12scf1	467640	474541	+	46670	2691	17.342995169082	0.0727934489956905	Keep
030175	CTOv12scf1	474433	479973	-	15622	1470	10.627210884354	1	Keep
014718	CTOv12scf1	521040	545971	-	95578	7203	13.269193391642	1	Keep
014719	CTOv12scf1	562404	587647	-	94318	7584	12.436445147679	1	Keep
014720	CTOv12scf1	590005	593558	-	20097	1221	16.459459459459	0.167463974613455	Keep
014701	CTOv12scf1	596084	599510	+	29035	1899	15.28962611901	0.405063837922305	Keep
014721	CTOv12scf1	599684	610188	-	6630	687	9.6506550218341	1	Keep
000004	CTOv12scf1	611786	627962	+	117866	8469	13.917345613414	0.849288329164799	Keep
029261	CTOv12scf1	631509	645205	+	53465	3885	13.761904761905	0.90667010339059	Keep
029262	CTOv12scf1	659745	663092	+	24393	1593	15.312617702448	0.399017288025463	Keep
014726	CTOv12scf1	664625	665410	-	6741	402	16.768656716418	0.127213348985125	Keep
014702	CTOv12scf1	667310	739522	+	56200	4287	13.109400513179	1	Keep
014722	CTOv12scf1	740584	744197	-	7446	639	11.652582159624	1	Keep
014703	CTOv12scf1	744974	749602	+	40055	3072	13.038736979167	1	Keep
014723	CTOv12scf1	752104	765097	-	5868	1221	4.8058968058968	1	Keep
014728	CTOv12scf1	815052	852835	+	22302	1584	14.079545454545	0.790255879200334	Keep
014729	CTOv12scf1	865567	889189	+	29647	2043	14.511502692119	0.639608002305225	Keep
014765	CTOv12scf1	917407	917634	+	3275	228	14.364035087719	0.689750509985886	Keep
014767	CTOv12scf1	1058803	1058898	+	1846	96	19.229166666667	0.00742085060027309	Keep
014730	CTOv12scf1	1075413	1076167	+	4282	345	12.411594202899	1	Keep
014750	CTOv12scf1	1084682	1088538	-	14774	1254	11.781499202552	1	Keep
014763	CTOv12scf1	1107498	1107875	+	2840	378	7.5132275132275	1	Keep
014768	CTOv12scf1	1126900	1126971	-	703	72	9.7638888888889	1	Keep
014731	CTOv12scf1	1275659	1278391	+	12364	771	16.036316472114	0.237103624023749	Keep
014762	CTOv12scf1	1365622	1366056	-	4374	435	10.055172413793	1	Keep
014732	CTOv12scf1	1371208	1375864	+	16431	1335	12.307865168539	1	Keep
014766	CTOv12scf1	1376485	1376789	-	2742	198	13.848484848485	0.874628774840515	Keep
014751	CTOv12scf1	1380993	1400977	-	69537	5535	12.563143631436	1	Keep
014733	CTOv12scf1	1407347	1408696	+	5617	417	13.470023980815	1	Keep
014752	CTOv12scf1	1414480	1423858	-	16870	1140	14.798245614035	0.546829794008263	Keep
014753	CTOv12scf1	1429648	1463737	-	36535	2103	17.372800760818	0.0705939961183832	Keep
014734	CTOv12scf1	1485694	1487289	+	8792	606	14.508250825083	0.640697194565194	Keep
014764	CTOv12scf1	1521320	1528156	+	9036	861	10.494773519164	1	Keep
014754	CTOv12scf1	1530894	1536122	-	2337	942	2.4808917197452	1	Keep
014735	CTOv12scf1	1544252	1564315	+	14870	1188	12.516835016835	1	Keep
014755	CTOv12scf1	1581594	1585848	-	13295	897	14.821627647715	0.539568077101125	Keep
014756	CTOv12scf1	1586434	1595223	-	48861	3114	15.690751445087	0.307518513666434	Keep
014757	CTOv12scf1	1599305	1607018	-	20923	1506	13.893094289509	0.858196352375381	Keep
014736	CTOv12scf1	1618346	1635817	+	65962	4365	15.11156930126	0.453715847827045	Keep
014737	CTOv12scf1	1640784	1653670	+	47789	3570	13.386274509804	1	Keep
014738	CTOv12scf1	1655810	1658108	+	8909	495	17.99797979798	0.0356561453002611	Keep
014739	CTOv12scf1	1658857	1673474	+	79489	4650	17.094408602151	0.0934017252252561	Keep
014740	CTOv12scf1	1675134	1677251	+	10037	714	14.057422969188	0.798244841574105	Keep
014741	CTOv12scf1	1678695	1684591	+	42013	2859	14.694998251137	0.579462025389282	Keep
014742	CTOv12scf1	1685513	1689212	+	22860	2076	11.011560693642	1	Keep
014743	CTOv12scf1	1690590	1695587	+	14694	1086	13.530386740331	0.992955634521083	Keep
014744	CTOv12scf1	1699817	1711685	+	51276	3381	15.165927240461	0.438523903524318	Keep
014758	CTOv12scf1	1714010	1715839	-	20695	1347	15.363771343727	0.38576075665898	Keep
014745	CTOv12scf1	1719784	1747752	+	37184	2604	14.279569892473	0.71911491899312	Keep
014746	CTOv12scf1	1748394	1750135	+	38404	1155	33.250216450216	0	Exclude
014759	CTOv12scf1	1750225	1758352	-	40845	1803	22.65391014975	1.86041759633326e-05	Exclude
014760	CTOv12scf1	1758767	1761943	-	12993	780	16.657692307692	0.140690868564817	Keep
014747	CTOv12scf1	1764116	1766600	+	11244	903	12.451827242525	1	Keep
014761	CTOv12scf1	1770801	1771430	-	8492	630	13.479365079365	1	Keep
014791	CTOv12scf1	1784617	1803652	-	35477	2877	12.331247827598	1	Keep
014792	CTOv12scf1	1816155	1821720	-	4481	282	15.890070921986	0.265375186011841	Keep
