p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000995506507042	0.0396026767886	Signaling by Insulin receptor	Reactome	R-HSA-74752	ENSG00000185950; ENSG00000077782; ENSG00000071553; ENSG00000070193; ENSG00000133703	2260; 8660; 2255; 537; 3845	75	21
0.00117291401372	0.0396026767886	IRS-mediated signalling	Reactome	R-HSA-112399	ENSG00000185950; ENSG00000077782; ENSG00000133703; ENSG00000070193	2260; 8660; 2255; 3845	45	13
0.00149502089537	0.0396026767886	Activated NTRK2 signals through RAS	Reactome	R-HSA-9026519	ENSG00000148053; ENSG00000133703	3845; 4915	9	2
0.00149502089537	0.0396026767886	SOS-mediated signalling	Reactome	R-HSA-112412	ENSG00000185950; ENSG00000133703	8660; 3845	7	2
0.00159336091697	0.0396026767886	IRS-related events triggered by IGF1R	Reactome	R-HSA-2428928	ENSG00000185950; ENSG00000077782; ENSG00000133703; ENSG00000070193	2260; 8660; 2255; 3845	49	14
0.00159336091697	0.0396026767886	IGF1R signaling cascade	Reactome	R-HSA-2428924	ENSG00000185950; ENSG00000077782; ENSG00000133703; ENSG00000070193	2260; 8660; 2255; 3845	50	14
0.00210837141804	0.0396026767886	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Reactome	R-HSA-2404192	ENSG00000185950; ENSG00000077782; ENSG00000133703; ENSG00000070193	2260; 8660; 2255; 3845	51	15
0.00210837141804	0.0396026767886	Insulin receptor signalling cascade	Reactome	R-HSA-74751	ENSG00000185950; ENSG00000077782; ENSG00000133703; ENSG00000070193	2260; 8660; 2255; 3845	51	15
0.00234489533617	0.0396026767886	Intracellular signaling by second messengers	Reactome	R-HSA-9006925	ENSG00000124216; ENSG00000185950; ENSG00000070193; ENSG00000077782; ENSG00000092847; ENSG00000111642; ENSG00000111676; ENSG00000121281	6615; 2255; 113; 2260; 26523; 1108; 1822; 8660	245	62
0.00276675323255	0.0420546491347	SHC-mediated cascade:FGFR1	Reactome	R-HSA-5654688	ENSG00000077782; ENSG00000133703; ENSG00000070193	2260; 3845; 2255	21	8
0.00345570025845	0.0442931143629	PIP3 activates AKT signaling	Reactome	R-HSA-1257604	ENSG00000124216; ENSG00000185950; ENSG00000070193; ENSG00000077782; ENSG00000092847; ENSG00000111642; ENSG00000111676	6615; 2260; 2255; 26523; 1108; 1822; 8660	214	52
0.00403351270614	0.0442931143629	FRS-mediated FGFR1 signaling	Reactome	R-HSA-5654693	ENSG00000077782; ENSG00000133703; ENSG00000070193	2260; 2255; 3845	23	9
0.0040661105863	0.0442931143629	Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	ENSG00000185950; ENSG00000148082; ENSG00000070193; ENSG00000148053; ENSG00000071553; ENSG00000133703; ENSG00000137441; ENSG00000077782; ENSG00000136205; ENSG00000102755	2255; 64759; 8660; 4915; 3845; 2260; 53358; 83888; 2321; 537	423	98
0.00431943670385	0.0442931143629	PTEN Regulation	Reactome	R-HSA-6807070	ENSG00000124216; ENSG00000111676; ENSG00000092847; ENSG00000111642	6615; 26523; 1108; 1822	96	18
0.00437103102265	0.0442931143629	FGFR1b ligand binding and activation	Reactome	R-HSA-190370	ENSG00000077782; ENSG00000070193	2260; 2255	6	3
0.00644171916821	0.061196332098	Signaling by NTRK1 (TRKA)	Reactome	R-HSA-187037	ENSG00000185950; ENSG00000148053; ENSG00000148082; ENSG00000133703	8660; 53358; 4915; 3845	76	20
0.00748509755885	0.064755508374	Downstream signaling of activated FGFR1	Reactome	R-HSA-5654687	ENSG00000077782; ENSG00000133703; ENSG00000070193	2260; 2255; 3845	31	11
0.00772318097084	0.064755508374	Signaling by NTRKs	Reactome	R-HSA-166520	ENSG00000185950; ENSG00000148053; ENSG00000148082; ENSG00000133703	3845; 53358; 8660; 4915	89	21
0.00852046162816	0.064755508374	FGFR2b ligand binding and activation	Reactome	R-HSA-190377	ENSG00000137441; ENSG00000070193	2255; 83888	10	4
0.00852046162816	0.064755508374	Signaling by NTRK2 (TRKB)	Reactome	R-HSA-9006115	ENSG00000148053; ENSG00000133703	4915; 3845	20	4
0.00916190734969	0.0652628009473	Signaling by FGFR	Reactome	R-HSA-190236	ENSG00000077782; ENSG00000137441; ENSG00000133703; ENSG00000070193	2255; 3845; 2260; 83888	87	22
0.00970117233494	0.0652628009473	PI3K Cascade	Reactome	R-HSA-109704	ENSG00000185950; ENSG00000077782; ENSG00000070193	2260; 8660; 2255	41	12
