029611	NORv12scf1	3127	4049	-	360	660	0.54545454545455
029612	NORv12scf1	8042	8964	-	0	660	0
029618	NORv12scf1	10125	12422	+	500	489	1.0224948875256
029621	NORv12scf1	26004	26357	+	286	354	0.80790960451977
000001	NORv12scf1	26929	28494	+	26178	642	40.775700934579
029620	NORv12scf1	113918	114220	-	2308	303	7.6171617161716
029624	NORv12scf1	183388	183477	+	0	90	0
029619	NORv12scf1	291726	292145	-	22035	420	52.464285714286
029600	NORv12scf1	518783	743515	+	32698	3258	10.036218538981
029613	NORv12scf1	536870	537175	-	1799	306	5.8790849673203
029601	NORv12scf1	790153	823196	+	10400	1020	10.196078431373
029614	NORv12scf1	823114	871286	-	27882	3006	9.2754491017964
029602	NORv12scf1	875234	895332	+	9100	1026	8.869395711501
029603	NORv12scf1	938203	938556	+	1521	354	4.2966101694915
029604	NORv12scf1	1091165	1169939	+	17953	855	20.997660818713
029605	NORv12scf1	1187641	1215959	+	12002	987	12.160081053698
029615	NORv12scf1	1217513	1231784	-	13146	1359	9.673289183223
029606	NORv12scf1	1233579	1235242	+	3380	732	4.6174863387978
029616	NORv12scf1	1238088	1267548	-	72608	4059	17.888149790589
029607	NORv12scf1	1295707	1329916	+	25426	3771	6.7425086184036
029617	NORv12scf1	1358627	1369761	-	51282	1959	26.177641653905
031592	NORv12scf1	1379516	1407159	-	6366	795	8.0075471698113
031591	NORv12scf1	1420911	1455145	-	19818	2211	8.9633649932157
029622	NORv12scf1	1465474	1465693	-	1740	171	10.175438596491
029608	NORv12scf1	1470186	1478459	+	13722	846	16.219858156028
029609	NORv12scf1	1483458	1520217	+	3795	915	4.1475409836066
031593	NORv12scf1	1526716	1527828	-	10406	1113	9.3495058400719
000002	NORv12scf1	1539732	1549580	-	10297	1497	6.8784235136941
029610	NORv12scf1	1551459	1581082	+	19636	2283	8.6009636443276
029623	NORv12scf1	1586275	1586565	+	913	291	3.1374570446735
020158	NORv12scf2	83	17484	+	1360	402	3.3830845771144
019212	NORv12scf4	333	331771	-	27061	2280	11.868859649123
019214	NORv12scf4	359259	359777	+	372	519	0.71676300578035
019213	NORv12scf4	437925	439497	-	22267	1449	15.367149758454
019215	NORv12scf4	461822	462070	-	410	249	1.6465863453815
027382	NORv12scf7	1001	9437	+	39318	1419	27.708245243129
002129	NORv12scf7	10801	13348	-	14314	1062	13.478342749529
027385	NORv12scf7	18022	60332	-	65554	4554	14.394817742644
002130	NORv12scf7	65794	85212	-	13005	1110	11.716216216216
002131	NORv12scf7	85408	106779	-	80473	2817	28.566915157969
027387	NORv12scf7	130735	130863	-	2502	129	19.395348837209
027383	NORv12scf7	151093	232665	+	37249	2487	14.977482911138
027386	NORv12scf7	311216	311383	+	8947	168	53.255952380952
027384	NORv12scf7	418377	421392	+	8445	1092	7.7335164835165
002132	NORv12scf7	450387	670097	-	9143	1869	4.8919208132691
023266	NORv12scf8	2327	2681	-	100	348	0.28735632183908
023268	NORv12scf8	3515	3697	+	42	183	0.22950819672131
023267	NORv12scf8	3991	4285	-	2012	201	10.009950248756
016552	NORv12scf9	4161	4715	+	0	555	0
016551	NORv12scf9	7770	8126	+	865	150	5.7666666666667
030809	NORv12scf10	4695	53794	+	101887	5064	20.119865718799
030808	NORv12scf10	59632	67830	+	1863	2226	0.83692722371968
016501	NORv12scf10	83435	95572	+	8047	873	9.2176403207331
016502	NORv12scf10	97303	113757	+	32426	2145	15.117016317016
016503	NORv12scf10	124667	137082	+	7322	1065	6.875117370892
000003	NORv12scf10	152311	235293	+	16185	2046	7.9105571847507
016510	NORv12scf10	240712	244403	-	14100	795	17.735849056604
016504	NORv12scf10	273497	313835	+	13874	1407	9.8606965174129
016511	NORv12scf10	315140	320709	-	8045	576	13.967013888889
016505	NORv12scf10	324346	329919	+	12848	1749	7.3459119496855
016506	NORv12scf10	333370	336299	+	6261	594	10.540404040404
016507	NORv12scf10	359236	375618	+	14714	1173	12.543904518329
016508	NORv12scf10	388472	392362	+	24801	1905	13.018897637795
030810	NORv12scf10	393549	402267	-	19441	2178	8.9260789715335
030811	NORv12scf10	405393	411544	-	8841	675	13.097777777778
016509	NORv12scf10	423300	426635	+	10608	828	12.811594202899
016517	NORv12scf10	428377	428478	+	2022	102	19.823529411765
016516	NORv12scf10	460935	461246	-	5281	312	16.926282051282
016512	NORv12scf10	461831	549529	-	17033	1827	9.3229337712096
016514	NORv12scf10	629371	629866	+	11748	426	27.577464788732
016515	NORv12scf10	703822	704217	-	335	396	0.8459595959596
016513	NORv12scf10	712225	750260	-	4160	255	16.313725490196
