p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000542755271722	0.0846698223887	GO:0098590	c	2	plasma membrane region	102; 147; 182; 366; 388; 538; 747; 857; 858; 867; 947; 1072; 1140; 1312; 1816; 1949; 1969; 2060; 2121; 2556; 2557; 2743; 2821; 2899; 2903; 2911; 2914; 2979; 3361; 55198; 3756; 3760; 3775; 3991; 4038; 7779; 4593; 4935; 4986; 5002; 5021; 5030; 5100; 5138; 5152; 5311; 5341; 5501; 5562; 5576; 5745; 5756; 5794; 5818; 5873; 5913; 6010; 6530; 6514; 6519; 6520; 6529; 6536; 6559; 6813; 6870; 7122; 7253; 7976; 8323; 8326; 8506; 8572; 8631; 9057; 9093; 55966; 9727; 9783; 10979; 11113; 23704; 11258; 339291; 340990; 374291; 80059; 26509; 81704; 114569; 81832; 114609; 81848; 81930; 114798; 57451; 83483; 83543; 57622; 84930; 84936; 23035; 84059; 84976; 347730; 642938; 54820; 54910; 54997; 55630; 23380; 23767; 11141; 57406; 57528; 254263; 57689; 140730; 9746; 26045; 256158; 27092; 27286; 94056; 127700; 29881; 27035; 64399; 54434	MUSK; SLC6A2; SLC6A1; KCNE4; SLC6A9; CD34; LRFN1; ADGRV1; SEMA4C; CAV2; CAV1; PLVAP; ZFYVE19; IL1RAPL1; SLC12A3; KCNJ3; LIPE; GPI; DNAJA3; AQP9; FLRT3; SSH1; ABHD6; KCTD16; TWF1; RAB27A; LRRC4C; ADRA1B; LRP4; SLC2A2; CLDN5; RHO; NETO1; HMCN2; HHIP; HTR5A; DOCK8; SLC7A6; EVC; SYAP1; NOX1; DCTN3; TSHR; ATP7A; FAM196A; TIRAP; SLC30A1; AJAP1; LRRTM4; LRRTM1; LRRTM2; GRM4; CLSTN3; GRM1; PDLIM4; MAL2; RHOB; TACR3; KCNH1; SLC3A2; SLC3A1; CBL; OTOG; GUCA1B; EFNB3; EPHA2; SRGAP2; PRKAR2A; TENM2; STXBP2; SPRY4; GABRA4; GABRA3; FZD3; FZD6; GPR143; CHRNB1; FZD9; MASTL; NECTIN1; RIMS4; RIMS3; DAGLA; SKAP1; SRPX2; COMT; FERMT2; APPL2; SLC39A4; PHLPP2; RAB11FIP3; CNTNAP1; AIF1L; SLC22A18; LRRC30; PKD2; GRIK3; OXTR; NPC1L1; PTH1R; PLEK; PRKAA1; ADAM10; PDE9A; CIT; NDE1; PDE2A; MYOF; OSCP1; EPS15; CNIH2; SLITRK1; KCNK1; DISP1; JAG1; TESC; KIF18A; GLRB; CFL1; OPRK1; P2RY4; PCDH8; PPP1CC; DRD5; RAPSN; GRIN2A; NDUFS7; CACNG4; PTPRH	1185	180
0.000629863261259	0.483744069294	GO:0050807	b	5	regulation of synapse organization	102; 577; 1072; 4038; 4208; 4593; 4915; 5021; 5100; 5818; 5913; 6495; 7336; 7474; 7476; 8326; 266727; 114798; 57622; 84189; 51804; 347730; 8851; 54434; 54674; 22943; 23767; 11141; 9746; 26045; 27286	MUSK; IL1RAPL1; ADAM10; LRFN1; MDGA1; DKK1; CLSTN3; SIX4; FZD9; SIX1; NTRK2; NECTIN1; LRRTM1; SRPX2; LRRTM2; CDK5R1; ADGRB3; SLITRK6; SLITRK1; FLRT3; CFL1; SSH1; UBE2V2; PCDH8; LRP4; LRRN3; RAPSN; MEF2C; OXTR; WNT5A; WNT7A	216	36
0.000646611196223	0.544710615479	GO:0051963	b	4	regulation of synapse assembly	577; 4208; 4593; 4915; 5021; 5818; 6495; 7336; 7474; 7476; 266727; 114798; 57622; 84189; 51804; 347730; 54674; 23767; 11141; 9746; 26045; 27286	MUSK; IL1RAPL1; LRFN1; MDGA1; CLSTN3; SIX4; SIX1; NTRK2; NECTIN1; LRRTM1; SRPX2; LRRTM2; ADGRB3; SLITRK6; SLITRK1; FLRT3; UBE2V2; LRRN3; MEF2C; OXTR; WNT5A; WNT7A	105	24
0.000777098906497	0.483744069294	GO:0051965	b	5	positive regulation of synapse assembly	577; 4915; 5021; 7336; 7476; 114798; 84189; 347730; 54674; 23767; 11141; 9746; 26045; 27286	SLITRK6; IL1RAPL1; SLITRK1; LRRTM2; LRRN3; NTRK2; FLRT3; LRRTM1; SRPX2; OXTR; UBE2V2; CLSTN3; WNT7A; ADGRB3	67	14
0.00110181726414	0.218159818301	GO:0007155	b	2	cell adhesion	90; 102; 182; 285; 384; 388; 604; 653; 677; 708; 64405; 857; 939; 947; 977; 1002; 1016; 1295; 1307; 1445; 1465; 1793; 1826; 1949; 1969; 2050; 2294; 3315; 3397; 3483; 3491; 3694; 3730; 4088; 4091; 4092; 4602; 4868; 5067; 5074; 5100; 5140; 5274; 5341; 5361; 5607; 22801; 5777; 5818; 6247; 6469; 6591; 6722; 6793; 170692; 7057; 7122; 7450; 7474; 7477; 7525; 1540; 8038; 8322; 8506; 8578; 8631; 8727; 9037; 9069; 9093; 9270; 9358; 9475; 9530; 55966; 9595; 9806; 10049; 10417; 10457; 10516; 10631; 10979; 51441; 79576; 472; 80005; 80149; 145864; 80762; 81704; 266727; 114798; 90187; 57451; 83660; 83706; 3037; 51176; 84034; 84059; 51754; 8851; 54549; 54997; 3707; 23380; 56339; 23654; 23767; 11141; 9473; 57007; 57662; 57689; 91584; 9746; 25890; 26032; 255743; 27286; 27289; 27302; 257194; 53834; 10296; 29091; 3170; 64129; 64881	FGFRL1; STK10; CD34; ADGRV1; LEF1; FBLN5; CAV1; IL1RAPL1; SUSD5; FOXF1; SRPX2; TINAGL1; MYB; CDH4; ATM; CTNNAL1; SLITRK1; CDH22; CD27; LRRC4C; NEGR1; POSTN; FLRT3; SNAI2; SRGAP2; DNAJA3; BMP5; PCDH20; NKAP; FOXA2; CYLD; CSRP1; CYTIP; WNT7B; DOCK8; DOCK1; DOCK5; CD151; ITGA11; MDGA1; PLXNA4; PLXNB2; CSK; HSPB1; AJAP1; THBS1; ITPKB; CDK5R1; ANGPT2; CLSTN3; CLDN5; SDK2; EPHB4; NPHS1; SHH; RHOB; COL16A1; PLEK; PTPN6; SEMA5A; CAMSAP3; ARG2; SPOCK2; WNT5A; CLDN12; EFNB3; BAG4; SMAD6; SMAD7; EPHA2; SMAD3; TENM2; STXBP6; YTHDF2; ADAMTS18; ITGBL1; FZD4; DNAJB6; C1QBP; PDE3B; NDFIP1; NECTIN1; HAS2; SKAP1; SRF; ZFP36L1; FERMT2; FERMT3; ABI3BP; PAWR; MAEA; CNTNAP1; EMILIN3; EMILIN2; SCARF1; CNTN3; PLXNA1; METTL3; IGFALS; ID1; NPNT; GPNMB; TMEM8B; HAPLN3; ACVR1; CDH18; ADAM10; ADAM12; BMP10; MAP2K5; ZC3H12A; DSCAM; ACKR3; ITGB1BP1; RS1; YES1; TLN2; THEMIS2; ANOS1; SERPINI1; JAG1; SPON2; COL8A1; CYR61; ITGB6; VWF; PCDH8; ROCK2; TESC; RND1; BCL6	1389	185
0.00129796016397	0.544710615479	GO:0060711	b	4	labyrinthine layer development	133; 653; 677; 3491; 6692; 7477; 10049; 10959; 79893; 50814; 51176; 23462; 22846	VASH1; BMP5; SPINT1; CYR61; TMED2; NSDHL; ZFP36L1; DNAJB6; HEY1; LEF1; ADM; GGNBP2; WNT7B	47	13
0.00129796016397	0.544710615479	GO:0006900	b	4	vesicle budding from membrane	1075; 6396; 6399; 399687; 9570; 10342; 10959; 26286; 51399; 83547; 23243; 254263; 27095	CTSC; TMED2; RILP; SEC13; TRAPPC2; TRAPPC4; MYO18A; CNIH2; ARFGAP3; GOSR2; TRAPPC3; TFG; ANKRD28	101	13
0.0015317792173	0.307544008369	GO:0001892	b	3	embryonic placenta development	133; 653; 677; 2034; 2103; 2186; 2624; 3491; 5311; 5469; 6692; 7477; 7942; 10049; 10959; 79893; 50814; 51176; 23462; 22846	BPTF; EPAS1; BMP5; SPINT1; CYR61; TMED2; NSDHL; ESRRB; PKD2; TFEB; ZFP36L1; DNAJB6; VASH1; HEY1; MED1; LEF1; ADM; GATA2; GGNBP2; WNT7B	89	22
0.00153291014859	0.318845310906	GO:0045211	c	3	postsynaptic membrane	102; 747; 1140; 1312; 1949; 2556; 2557; 2743; 2899; 2903; 2911; 3361; 3756; 7779; 4593; 4986; 5100; 5913; 6529; 6536; 8572; 9093; 80059; 81832; 114798; 57451; 57622; 347730; 642938; 54910; 23380; 23767; 11141; 57406; 57528; 254263; 57689; 9746; 26045; 27092; 94056	MUSK; EFNB3; SLC6A1; IL1RAPL1; HTR5A; SLC6A9; SRGAP2; ADAM10; TENM2; LRFN1; GABRA4; SEMA4C; SLC30A1; GABRA3; CLSTN3; FAM196A; CNIH2; CHRNB1; LRRTM4; LRRTM1; LRRTM2; GRM1; DAGLA; SLITRK1; PDLIM4; COMT; GLRB; FLRT3; OPRK1; ABHD6; PCDH8; DNAJA3; LRRC4C; KCNH1; KCTD16; GRIK3; SYAP1; RAPSN; GRIN2A; NETO1; CACNG4	323	51
0.00165497143013	0.307544008369	GO:0050803	b	3	regulation of synapse structure or activity	102; 577; 1072; 4038; 4208; 4593; 4915; 5021; 5100; 5818; 5913; 6495; 7336; 7474; 7476; 8326; 266727; 114798; 57622; 84189; 51804; 347730; 8851; 54674; 22943; 23767; 11141; 9746; 26045; 27286; 54434	MUSK; IL1RAPL1; ADAM10; LRFN1; MDGA1; DKK1; CLSTN3; SIX4; FZD9; SIX1; NTRK2; NECTIN1; LRRTM1; SRPX2; LRRTM2; CDK5R1; ADGRB3; SLITRK6; SLITRK1; FLRT3; CFL1; SSH1; UBE2V2; PCDH8; LRP4; LRRN3; RAPSN; MEF2C; OXTR; WNT5A; WNT7A	225	37
